comuna,ica,fecha,id
comuna 4,68,2024-06-25,12872
comuna 4,14,2024-07-31,18962
comuna 1,17,2024-06-25,20752
comuna 14,29,2024-06-25,16356
comuna 16,38,2024-01-30,31786
comuna 10,11,2024-06-23,35767
comuna 6,34,2024-07-31,35220
comuna 14,21,2024-07-31,39021
comuna 1,39,2024-06-25,36513
comuna 9,94,2024-07-31,21404
comuna 1,92,2024-07-31,44546
comuna 9,39,2024-06-23,43837
comuna 16,81,2024-01-30,8029
comuna 5,19,2024-07-31,921
comuna 3,56,2024-01-30,49340
comuna 15,52,2024-06-25,42257
comuna 10,21,2024-07-31,10779
comuna 9,67,2024-06-25,41405
comuna 9,59,2024-01-30,33759
comuna 15,92,2024-06-25,43772
comuna 4,54,2024-06-23,41597
comuna 10,91,2024-01-30,13344
comuna 1,13,2024-06-23,31001
comuna 9,70,2024-01-30,21219
comuna 2,74,2024-06-23,28927
comuna 14,86,2024-06-25,45058
comuna 16,27,2024-07-31,24434
comuna 12,16,2024-07-31,44241
comuna 9,35,2024-07-31,48513
comuna 15,79,2024-06-25,9475
comuna 12,32,2024-06-25,7943
comuna 11,66,2024-07-31,3502
comuna 12,32,2024-01-30,26249
comuna 8,98,2024-06-23,30086
comuna 5,63,2024-06-23,9847
comuna 12,83,2024-07-31,15385
comuna 7,79,2024-06-23,32958
comuna 11,76,2024-07-31,46959
comuna 5,78,2024-01-30,48181
comuna 9,33,2024-06-25,12863
comuna 11,52,2024-06-25,36866
comuna 12,85,2024-06-25,24388
comuna 14,76,2024-06-23,18203
comuna 11,75,2024-06-23,45557
comuna 14,26,2024-06-23,22167
comuna 1,53,2024-01-30,43377
comuna 12,21,2024-01-30,18668
comuna 7,36,2024-01-30,38367
comuna 8,45,2024-06-23,37414
comuna 10,26,2024-07-31,45328
comuna 10,94,2024-01-30,32742
comuna 12,52,2024-07-31,3837
comuna 4,42,2024-06-25,40081
comuna 7,34,2024-06-23,8381
comuna 13,51,2024-06-25,20715
comuna 4,27,2024-06-23,6891
comuna 5,93,2024-06-23,16491
comuna 14,74,2024-07-31,2825
comuna 8,65,2024-06-25,49510
comuna 6,94,2024-01-30,31114
comuna 13,100,2024-01-30,17196
comuna 7,56,2024-06-25,12509
comuna 1,75,2024-07-31,44087
comuna 12,66,2024-01-30,49442
comuna 10,90,2024-06-25,36733
comuna 7,41,2024-07-31,29340
comuna 5,39,2024-06-25,38663
comuna 5,62,2024-06-25,3481
comuna 13,87,2024-07-31,990
comuna 8,52,2024-01-30,29887
comuna 3,30,2024-06-25,21764
comuna 9,66,2024-01-30,25960
comuna 5,66,2024-06-25,46187
comuna 7,77,2024-06-25,17680
comuna 3,77,2024-01-30,33781
comuna 1,17,2024-07-31,11329
comuna 9,43,2024-07-31,42874
comuna 7,54,2024-07-31,2302
comuna 9,22,2024-06-23,18886
comuna 13,60,2024-06-23,9572
comuna 5,37,2024-07-31,44770
comuna 13,68,2024-07-31,6268
comuna 15,18,2024-06-25,20345
comuna 2,53,2024-01-30,28514
comuna 14,21,2024-01-30,38460
comuna 1,77,2024-01-30,9855
comuna 2,40,2024-07-31,37405
comuna 6,79,2024-07-31,8217
comuna 15,93,2024-06-23,12651
comuna 13,69,2024-01-30,49090
comuna 7,68,2024-06-23,14804
comuna 7,87,2024-06-25,45385
comuna 4,90,2024-07-31,33779
comuna 13,38,2024-06-23,34624
comuna 10,49,2024-01-30,22464
comuna 12,43,2024-07-31,45963
comuna 3,55,2024-07-31,26735
comuna 10,56,2024-06-23,14820
comuna 2,41,2024-07-31,42745
comuna 4,22,2024-07-31,44620
comuna 14,14,2024-07-31,46911
comuna 1,100,2024-01-30,17068
comuna 2,58,2024-06-25,16806
comuna 15,76,2024-01-30,19801
comuna 9,79,2024-07-31,30434
comuna 4,89,2024-01-30,21366
comuna 13,45,2024-06-23,21047
comuna 13,65,2024-01-30,43321
comuna 5,43,2024-07-31,4997
comuna 3,47,2024-01-30,37891
comuna 10,63,2024-06-25,8351
comuna 1,36,2024-06-25,19128
comuna 10,92,2024-07-31,32973
comuna 15,27,2024-07-31,45384
comuna 4,71,2024-06-23,42417
comuna 15,12,2024-07-31,41060
comuna 10,93,2024-01-30,30023
comuna 14,36,2024-06-23,9065
comuna 5,11,2024-06-23,35409
comuna 6,98,2024-06-25,2562
comuna 15,69,2024-01-30,39269
comuna 13,80,2024-06-23,42092
comuna 12,68,2024-06-23,9367
comuna 4,35,2024-06-23,4565
comuna 13,27,2024-06-23,31467
comuna 15,55,2024-06-25,42979
comuna 5,28,2024-01-30,36904
comuna 11,86,2024-01-30,27663
comuna 9,83,2024-06-25,10462
comuna 9,72,2024-06-25,21169
comuna 1,45,2024-06-25,35731
comuna 5,36,2024-06-23,14126
comuna 1,81,2024-01-30,20460
comuna 10,13,2024-07-31,13625
comuna 15,61,2024-06-23,34948
comuna 12,98,2024-06-23,44066
comuna 7,13,2024-06-23,14237
comuna 6,46,2024-06-25,22160
comuna 10,42,2024-07-31,17623
comuna 15,82,2024-06-25,43623
comuna 10,86,2024-06-23,38552
comuna 8,89,2024-01-30,33807
comuna 3,82,2024-06-23,44395
comuna 2,36,2024-06-23,2319
comuna 6,68,2024-06-23,11565
comuna 11,11,2024-07-31,31704
comuna 15,23,2024-06-25,7253
comuna 16,51,2024-01-30,49778
comuna 8,82,2024-06-25,28398
comuna 16,86,2024-01-30,25950
comuna 1,94,2024-06-25,37070
